Image,Ratings,Price,Description
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [245 245 245]
  [242 242 242]
  ...
  [242 242 242]
  [245 245 245]
  [254 254 254]]

 [[252 252 252]
  [247 247 247]
  [247 247 247]
  ...
  [247 247 247]
  [247 247 247]
  [253 253 253]]

 [[252 252 252]
  [250 250 250]
  [249 249 249]
  ...
  [250 250 250]
  [250 250 250]
  [253 253 253]]]",2.7,"$1,110
60","Intel Core i3 3 GHz works smartly and well responsive to let you swiftly use multiple applications
8 GB memory is ready to run powerful programs with efficient performance
The 14"" 1366 x 768 screen provides a great movie watching experience
Windows 10 Pro can be best fit for both home and office and it features an improved 2 x 2 snapping, helps you make more productive on desktops
256 GB SSD keeps your running programs active while your computer resumes from suspension in seconds"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[247 247 247]
  [176 176 176]
  [198 198 198]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[254 254 254]
  [224 224 224]
  [215 215 215]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [254 254 254]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",2.7,,"Meet surface Book with performance base
Meticulously crafted
Detachable PixelSense Display with pen & touch"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",2.6,"$479
99","Experience responsive performance, power, adaptability and fun with Intel® Celeron™ 1.10 GHz processor
With 8 GB memory, you can multitask between various applications without issue
The 11.6"" 1366 x 768 screen provides a great movie watching experience
Chrome OS offers cloud connectivity to store data online that saves you hardware cost
12 Hour battery run time helps you stay unwired and work longer non-stop"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[232 231 233]
  [133 132 137]
  [ 99  97 103]
  ...
  [103 103 107]
  [130 130 132]
  [230 230 230]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",2.7,"$1,063
38","ASUS VivoBook S 15 laptop comes with 15.6” FHD (1920 x 1080) with ultra-slim NanoEdge bezels
Latest AMD Ryzen 9 6900HX Mobile Processor (8-core/16-thread, 16MB cache, up to 4.9 GHz max boost) and AMD Radeon Graphics
Fast storage and memory featuring 1TB M.2 NVMe PCIe 3.0 SSD and 16GB DDR5 RAM, Windows 11 Home
Extensive connectivity with 2x USB 3.2 Gen 2 Type-C, USB 3.2 Type A, USB 2.0 Type A, 3.5mm Combo Audio Jack, Wi-Fi 6 (802.11ax) and Bluetooth 5.0  (*USB transfer speed may vary. Learn more at ASUS.com)
Complimentary 1-month Adobe Creative Cloud subscription with the purchase. Learn more on ASUS website for more details
Sleek and lightweight aluminum body at only 3.75 lbs and 0.75 inches thick
Ergonomic chiclet backlit keyboard with fingerprint sensor activated via Windows Hello
ASUS AI Noise-Canceling Technology employs machine learning to isolate unwanted noise from human speech, which ensures the best communications experience"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",2.6,,"This Certified Refurbished product is tested and certified to look and work like new. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, a minimum 90-day warranty, and may arrive in a generic box. Only select sellers who maintain a high performance bar may offer Certified Refurbished products on Amazon.com.
ASUS Chromebook 14 C425TA: 14.0"" FHD (1920*1080), glossy, 45% NTSC color gamut, NanoEdge display, anti-glare ; Intel HD Graphics
Intel Core m3-8100Y Processor @ 1.10GHz(2 cores, 4M Cache, up to 3.40 GHz)
802.11ac WiFI, Bluetooth 4.0, Speaker, microphone; USB 3.1 Gen 1;2 x USB-C 3.1 Gen 1/DisplayPort (Power Delivery);Headphone/microphone combo jack
Chrome OS; Silver; Online Class ready, great for back to school students, Home, Student, Professionals, Small Business, School Education, and Commercial Enterprise; Remote Learning, Zoom Ready，Google Classroom download separately for free"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 254]
  [255 255 255]
  [216 217 218]
  ...
  [226 227 230]
  [255 255 255]
  [255 255 255]]

 [[255 255 254]
  [246 246 245]
  [196 196 197]
  ...
  [202 203 205]
  [252 252 253]
  [255 255 255]]

 [[255 255 255]
  [253 253 253]
  [240 240 240]
  ...
  [243 243 243]
  [255 255 255]
  [255 255 255]]]",4.5,"$429
99","The Lenovo IdeaPad 3i laptop is built with powerful 12th generation Intel Core i5-1235U processors, 8GB memory, and 256GB storage
The 14"" FHD display gives you wider viewing angles for a better experience across the board, providing better color accuracy and contrast, while the display's narrow bezels give you more available viewing screen
Enjoy crystal-clear collaboration – HD camera clarity gives you incredible video call, online class, and video conferencing quality, while Smart Noise Cancellation provides a more natural sound experience with less background noise
Travel light and work, create, and study anywhere with this easy-to-pack PC; it's 0.78"" slim and weighs only 3.30 lbs
Stay connected with WiFi and Bluetooth, plus one full-function USB-C port, two USB-A ports, HDMI, and an audio jack, includes Free 3-month Xbox Game Pass"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [254 254 254]
  [248 248 248]
  ...
  [231 231 231]
  [246 246 246]
  [253 253 253]]

 [[255 255 255]
  [255 255 255]
  [250 250 250]
  ...
  [240 240 240]
  [250 250 250]
  [254 254 254]]

 [[255 255 255]
  [255 255 255]
  [254 254 254]
  ...
  [250 250 250]
  [254 254 254]
  [254 254 254]]]",4,"$899
00","The Slim 7i features a first-of-its-kind processor designed for multitasking, with 12th Generation Intel Core H Series processors that distribute performance where you need it most
The pristine WQXGA IPS touchscreen display runs seamless visuals in smooth motion with a rapid 120Hz refresh rate on a 16:10 screen
Intel Arc graphics allow you to crunch through everything from 8K video processing to AI-accelerated photo editing, while enjoying higher quality and more realistic gaming
The Slim 7i lives up to its name with a thin, modern design that packs power and performance into a laptop computer that weighs less than 5lbs
Stay connected with Bluetooth 5.1 and Wi-Fi built in, plus 2 USB-A ports, HDMI, Thunderbolt 4 Type-C, SD card slot, and more"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[254 254 254]
  [252 252 252]
  [248 248 248]
  ...
  [244 244 244]
  [248 248 248]
  [252 252 252]]

 [[253 253 253]
  [252 252 252]
  [247 247 247]
  ...
  [247 247 247]
  [249 249 249]
  [252 252 252]]

 [[255 255 255]
  [253 253 253]
  [248 248 248]
  ...
  [250 250 250]
  [252 252 252]
  [253 253 253]]]",4.4,,"【Upgraded】RAM is upgraded to 16 GB high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once; Hard Drive is upgraded to 1 TB Solid State Drive to allow faster bootup and data transfer. Original Seal is opened for upgrade ONLY. If the computer has modifications (listed above), then the manufacturer box is opened for it to be tested and inspected and to install the upgrades to achieve the specifications as advertised.
【COLLABORATION READY】Protects your data with enterprise-grade security, boosts productivity with powerful management tools, and keeps going with long battery life. Powerful Wi-Fi 5 + Bluetooth 4.2 supports Gigabit speed and smooth streaming of high-resolution videos, TrueVision HD Camera system ready for remote work, virtual meeting, and online class
【Display】15.6 inch diagonal, FHD (1920 x 1080), micro-edge, anti-glare, 220 nits, 45 percent NTSC
【Processor】AMD Athlon Silver 3050U 2.3GHz Dual-Core Processor (5MB Cache, Up to 3.2GHz)
【Operating System】Windows 11"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",2,"$3,499
99","Complimentary 3-month Adobe Creative Cloud subscription with the purchase. Learn more on ASUS website for more details
Unfold it for a big and beautiful 17.3” 2560 x 1920 FOLED 4:3 aspect ratio foldable OLED NanoEdge touchscreen
Vesa Certified DisplayHDR True Black 500 display, Pantone Validated, 100% DCI-P3 color gamut, 0.2ms response time, with 87% screen-to-body ratio
A new hybrid of laptop and tablet with on-screen keyboard mode, laptop mode, PC mode, tablet mode, book mode and extend mode
Intel Evo platform with latest 12th generation Intel Core i7-1250U Processor 1.1 GHz (12M Cache, up to 4.7 GHz, 2P+8E cores) and Intel Iris Xe graphics
Intel Evo Platform - The perfect combination of performance, responsiveness, and battery life. Stay productive with fast-charging, long-lasting battery.
Fast storage and memory featuring 1TB M.2 NVMe PCIe 4.0 SSD and 16GB LPDDR5 RAM, with Windows 11 Pro"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[242 241 243]
  [172 171 175]
  [105 104 108]
  ...
  [105 104 108]
  [163 163 164]
  [233 233 234]]

 [[252 252 252]
  [238 238 239]
  [212 212 212]
  ...
  [222 222 222]
  [248 248 248]
  [255 255 255]]

 [[253 253 253]
  [251 251 251]
  [247 247 247]
  ...
  [242 242 241]
  [247 247 247]
  [254 254 254]]]",2.4,"$793
84","11th Generation Intel Core i5-1135G7 Processor (Up to 4.2GHz) |Intel Iris Xe Graphics | 8GB DDR4 Memory | 512GB NVMe SSD | Windows 11 Home
14.0"" Full HD Widescreen LED-backlit IPS with Antimicrobial* Corning Gorilla Glass Display | 1920 x 1080 resolution | 450nit Brightness | 16:9 aspect ratio
Intel Wireless Wi-Fi 6 AX201 802.11ax | Bluetooth 5.1 | Backlit Keyboard
1 - USB Type-C Port USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB Type-C, Thunderbolt 4 & USB Charging, 3 - USB 3.2 Gen 1 Ports (one with Power-off Charging) & 1 - HDMI 2.0 Port with HDCP Support
Ingress Protection 53 Compliant | MIL-STD 810H Certified | TPM 2.0 | Up to 13 Hours Battery Life
*Antimicrobial Corning Gorilla Glass contains an antimicrobial agent to protect the surface. All antimicrobial solutions, including silver ion antimicrobial technology, contain an antimicrobial agent to protect the product surface and do not claim to protect users or provide any direct or implied health benefit. Antimicrobial protection is limited to the touch surface. Products featuring Acer Antimicrobial 360 Design have implemented the antimicrobial solutions on high-touch surfaces and most of the exterior area."
