Image,Ratings,Price,Description
"[[[252 252 252]
  [255 255 255]
  [253 251 254]
  ...
  [251 252 252]
  [255 255 255]
  [255 255 255]]

 [[252 252 253]
  [182 181 184]
  [122 121 125]
  ...
  [118 118 120]
  [170 170 170]
  [252 252 252]]

 [[222 221 223]
  [ 64  63  66]
  [ 10  11  11]
  ...
  [ 11  11  11]
  [ 45  45  45]
  [210 210 210]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.5,"$269
32","23.8inch FHD In-Plane Switching display with 3-Side NearEdgeless bezel design
VGA+DP+HDMI with audio out and 4x USB 3.2 Gen1
Up to 150mm lift range ergonomic design"
"[[[230 229 227]
  [168 167 167]
  [166 166 169]
  ...
  [195 193 196]
  [195 195 195]
  [236 236 236]]

 [[111 111 109]
  [ 38  38  38]
  [ 59  58  61]
  ...
  [ 33  31  35]
  [ 31  31  31]
  [140 140 140]]

 [[ 83  83  82]
  [151 151 151]
  [224 222 224]
  ...
  [  0   0   0]
  [  6   6   6]
  [111 111 111]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,"$179
99","27"" Full HD (1920 x 1080) Widescreen IPS Zero Frame Monitor with AMD Radeon FreeSync Technology
Refresh Rate: 144Hz (OverClocking to 165Hz Using Display Port)
Response Time: 2ms (G to G) - Up to 0.1ms (G to G)
2 speakers, 2 watts per speaker
Ports: 1 x Display Port, 2 x HDMI 2.0 Ports & 1 x Audio Out (Display Port Cable Included)"
"[[[219 218 219]
  [121 121 121]
  [129 129 129]
  ...
  [153 152 154]
  [143 143 143]
  [210 210 210]]

 [[115 113 114]
  [ 31  31  31]
  [ 46  45  46]
  ...
  [  0   0   1]
  [  0   0   0]
  [ 96  96  96]]

 [[100 100 100]
  [ 65  65  65]
  [ 80  78  79]
  ...
  [  1   0   0]
  [  0   0   0]
  [ 83  83  83]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",5,"$349
99","34"" QHD (3440 x 1440) 1500R Curved 21:9 Widescreen VA Gaming Monitor | AMD FreeSync Premium Technology
Refresh Rate: Up to 165Hz | Response Time: 1ms (VRB) | VESA Certified DisplayHDR 400 | Pixel Pitch: 0.231mm | Color Gamut: DCI-P3 90%
Zero-Frame Design | 2 Speakers, 2 Watts per Speaker
Ergonomic Tilt: -5° to 15° | Height Adjustment Range: 5.11"" | Swivel: 360°
Ports: 2 x Display Port 1.4, 2 x HDMI 2.0 Ports (HDMI Cable and Display Port Cable Included)"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",3.3,"$118
81","Fully assembled, elegant, lightweight, and patented design; Designed for LCD monitors, NOT SUITABLE FOR LAPTOPS
Manufactured of an optical grade acrylic Fresnel lens, increasing image by up to double in size
Patented design features a lightweight alternative to conventional heavy glass optical lens and easy adjustability US Patent 7495846
Screen magnification level is adjustable by moving the magnifier closer or farther from the display; the greater the distance, the larger the image will appear
Light tint for contrast enhancement for increased readability
MAG24WL measures 23-1/2” W x 14-1/4” H with a visual area of 21-7/8” W x 13-3/4” H
Before selecting the magnifier size, use measuring instructions as shown below in Manufacturers Information to ensure you choose appropriately. Visual area of the magnifier selected MUST be equal to or greater than the visual area of your monitor"
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.3,"$249
99","VIDEO CONFERENCING MONITOR: Built-in microphone, speakers and 2MP camera with privacy shutter delivers seamless video calls at home or in the office
QUALITY SCREEN TIME: From big data to beautiful presentations, this 27 inch monitor delivers Full HD (1920x1080p) viewing for any task
PRODUCTIVITY & COMFORT: Advanced ergonomics (tilt, swivel, rotate and height) help boost productivity with all-day comfort
AMAZING AT ANY ANGLE: A slim bezel IPS panel ensures stunning views no matter your vantage point
ENHANCED VIEWING COMFORT: Flicker-Free technology and Blue Light Filter for all-day comfort
FLEXIBLE CONNECTIVITY: The VG2740V supports laptops, PCs, Windows, Android, and Mac OS with HDMI, DisplayPort, USB, and VGA inputs
INCLUDED IN THE BOX: LCD Monitor, Power Cable, HDMI Cable, USB Type B Uplink Cable, 3.5mm Audio Cable, and a Quick Start Guide"
"[[[252 248 249]
  [246 249 251]
  [253 252 252]
  ...
  [237 238 236]
  [233 233 234]
  [247 247 247]]

 [[211 210 216]
  [ 84  87  89]
  [ 76  74  74]
  ...
  [ 47  47  45]
  [ 51  51  51]
  [200 200 200]]

 [[203 199 197]
  [ 21  18  10]
  [  5   9  18]
  ...
  [  0   0   0]
  [  3   3   3]
  [195 195 195]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,"$499
00","27-inch QHD (2560 x 1440) FastIPS gaming monitor with ultrafast 170Hz (overclocked) refresh rate designed for professional gamers and immersive gameplay
Aspect Ratio is 16:9; Viewing Angle (CR≧10, H/V) is 178°/ 178°; Brightness (Typ.) is 400cd/㎡ and Brightness (HDR, Peak) is 400cd/㎡
ASUS FastIPS technology enables a 1ms response time (GTG) for sharp gaming visuals with high frame rates.
Certified as G-SYNC Compatible, delivering a seamless, tear-free gaming experience by enabling VRR (variable refresh rate) by default.
ASUS Extreme Low Motion Blur Sync (ELMB SYNC) technology enables ELMB together with G-SYNC Compatible, eliminating ghosting and tearing for sharp gaming visuals with high frame rates.
High Dynamic Range (HDR) technology with professional color gamut delivers contrast and color performance that meets DCI-P3 95% color gamut and DisplayHDR 400 certification
Rich connectivity with DisplayPort 1.2 and HDMI (v2.0) x2 ports"
"[[[208 208 208]
  [123 123 123]
  [121 121 121]
  ...
  [ 96  96  96]
  [105 105 105]
  [209 209 209]]

 [[ 93  93  93]
  [ 62  62  62]
  [ 69  69  69]
  ...
  [ 36  36  36]
  [ 23  23  23]
  [ 97  97  97]]

 [[ 88  88  88]
  [ 83  83  83]
  [ 85  85  85]
  ...
  [ 48  48  48]
  [ 41  41  41]
  [ 92  92  92]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.8,"$139
00","24” Full HD (1920x1080) with 1ms response time and 75Hz refresh rate for crisp visuals featuring DisplayPort, HDMI and VGA connectivity with Adaptive Sync/FreeSync technology
ASUS Eye Care technology lowers blue light and eliminates flickering to reduce eyestrain and ailments
Built in 1.5W stereo speakers allow for full sound without external speakers
Exclusive GamePlus adds in-game viewing for adding a crosshair, timer, FPS, counter and display alignment
ASUS Rapid Replacement 3 years warranty service with free cross shipping
75 hertz"
"[[[205 206 205]
  [155 157 156]
  [159 160 161]
  ...
  [124 124 127]
  [115 114 117]
  [163 163 164]]

 [[134 137 138]
  [ 74  74  75]
  [ 84  85  88]
  ...
  [ 30  26  27]
  [ 22  22  24]
  [ 72  72  74]]

 [[139 141 144]
  [ 84  82  88]
  [ 79  88 101]
  ...
  [ 32  54  69]
  [ 33  35  38]
  [ 81  81  83]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4,"$589
99","SEAMLESS DUAL 4K DISPLAY w/ DAISY CHAIN: With two Thunderbolt 3 ports you can connect to compatible Macs and PCs and work on a bigger screen, enjoying a simpler dual UHD setup; Plus, transmit video and data at speeds up to 40Gbps, while simultaneously charging devices (up to 90W) over a single cable
STUNNING 4K UHD RESOLUTION: Get stunning, lifelike image quality and highly legible fonts thanks to 4x more pixels than a standard Full HD monitor; Large 31.5"" screen provides more room to work so you can be more productive, and the VA panel offers wide 178° viewing angles for easy viewing
BRILLIANT COLOR: 1 billion hues, 99.9% sRGB and HDR10 are accurately replicated, with a wide range of colors, deep dark blacks and brilliant whites; Experience lifelike colors while working with graphics, watching videos or reviewing designs
INCREDIBLE THUNDERBOLT: Equipped with two TBT3 USB-C ports and compatible with PC and Mac, the single cable connection transmits a digital display signal, data (USB) and Ethernet (LAN) while simultaneously charges your device (up to 90W)
ULTRA-SLIM BEZELS & EASY DUAL UHD SETUP: A 3-sided virtually borderless frame gives the impression of one seamless display in a multi-screen setup; Daisy chaining lets you bring monitors together with just one single cable
SPLIT SCREEN PICTURE-BY-PICTURE (PBP) & PICTURE-IN-PICTURE (PIP): Connect two separate sources to the TU874 Series display and view them simultaneously; Included software makes window management easy
FULLY ADJUSTABLE STAND: This business monitor has an adjustable stand that swivels, tilts and is height-adjustable to deliver comfort and ergonomics at work; And since the monitor is VESA compatible, installation on a wall or separate mounting arm is easy"
"[[[248 248 249]
  [131 132 135]
  [ 94  95  99]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[216 217 219]
  [ 44  45  49]
  [ 40  41  45]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[208 209 211]
  [ 51  52  56]
  [ 56  57  61]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.7,"$364
97","240Hz refresh rate virtually eliminates lag, helping you to react with Lightning quickness.
G-sync compatibility demolishes image tears, stuttering, and screen-lag for exceptionally smooth gaming
The deeply rounded 1500R curved screen wraps around your field of vision.
A 3000: 1 contrast ratio lets you seee enemies with greater clarity. Blacks are deep and white are bright with more levels of shades in between
Get ideal settings for your game. Picture mode optimally adjusts Black Gamma levels, contrast, sharpness, and color for virtually any game genre"
"[[[239 239 238]
  [115 113 114]
  [ 74  73  75]
  ...
  [ 78  78  78]
  [117 117 117]
  [244 244 244]]

 [[177 176 176]
  [  4   5   4]
  [ 17   3   0]
  ...
  [  1   5  11]
  [  3   3   3]
  [179 178 179]]

 [[161 164 168]
  [ 20   9   5]
  [176  89  38]
  ...
  [ 41  43 107]
  [  6   6  11]
  [158 158 157]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",4.6,"$399
99","PREMIUM MONITOR: 4K UHD (3840x2160p) advanced ergonomic, 60Hz IPS monitor deliver lifelike colors perfect for office, graphic design, photographers and more
PANTONE VALIDATED DISPLAY: Color fidelity in every pixel. The VP2756-4K has been rigorously tested and capable of reproducing the Pantone Matching System colors for professionals
AMAZING AT ANY ANGLE: A three-sided ultra-thin bezel shows off more of your masterpiece, and less of the monitor
REDUCE CABLE CLUTTER: Connect video, audio, data and power with a single USB-C cable and plug in peripherals like USB drives and mice with the USB hub
FLEXIBLE CONNECTIVITY: The VP2756-4K supports laptops, PCs, and Apple/Mac operating systems with USB Type C, HDMI 2.0, and DisplayPort inputs
INCLUDED IN THE BOX: LCD Monitor, Power Cable, USB-C Cable, HDMI Cable, UAB-A/B Cable, and a Quick Start Guide"
